id;name;country;color;quantity;price;date
1;mobile Fish;ITALY;YELLOW;44583;15599;2020-03-03T18:43:45
2;Trace;GERMANY;CYAN;65089;2058;2020-03-03T19:46:29
3;transmitter Implementation Electronics;BELGIUM;GREEN;61165;52475;2020-03-03T20:57:33
4;Home Namibia;BELGIUM;GREEN;97375;36636;2020-03-03T15:32:32
5;Licensed Savings Account;ITALY;CYAN;46676;4645;2020-03-03T00:29:25
6;Yuan Renminbi Centers;SPAIN;WHITE;56329;80839;2020-03-03T11:52:43
7;Music;GERMANY;BLUE;68326;12203;2020-03-03T06:29:20
8;backing up Salad;FRANCE;CYAN;75536;31171;2020-03-03T10:55:30
9;sky blue Georgia;SPAIN;BLACK;44975;93949;2020-03-03T11:38:42
10;Communications capacitor archive;BELGIUM;RED;96117;32533;2020-03-03T00:51:36
